X,Y
0,25.105485232067508
1,25.218333945057537
2,25.312182052274657
3,25.377450860519804
4,25.404561676593904
5,25.38393580729789
6,25.305994559432698
7,25.16115923979925
8,24.93985115519849
9,24.633239642731876
10,24.27821314462785
11,23.903618500630465
12,23.51508129245982
13,23.11822710183599
14,22.718681510479072
15,22.32207010010914
16,21.9340184524463
17,21.56015214921063
18,21.205266065696623
19,20.859709310416797
20,20.518671671620385
21,20.181591760694992
22,19.847908189028217
23,19.517059568007653
24,19.188484509020913
25,18.86162162345559
26,18.53590952269929
27,18.209966591054336
28,17.882588159819793
29,17.567303482968033
30,17.279792914976763
31,17.03573681032369
32,16.850815523486528
33,16.74070940894299
34,16.72109882117078
35,16.807664114647615
36,17.023885056866675
37,17.403143977003207
38,17.928810867557722
39,18.579420869820837
40,19.333509125083143
41,20.169610774635252
42,21.066260959767757
43,22.001994821771277
44,22.955347501936398
45,23.90886075949367
46,24.862109704641348
47,25.81535864978903
48,26.76860759493671
49,27.72185654008439
50,28.67510548523207
51,29.628354430379755
52,30.581603375527433
53,31.53485232067511
54,32.48810126582279
55,33.44135021097047
56,34.39459915611815
57,35.347848101265825
58,36.30109704641351
59,37.25434599156119
60,38.207594936708865
61,39.16084388185654
62,40.114077124550974
63,41.04950079150642
64,41.948858023203215
65,42.808499793660765
66,43.62477707689846
67,44.39404084693571
68,45.11264207779192
69,45.77693174348649
70,46.38326081803882
71,46.929012658227855
72,47.45329957805908
73,47.9775864978903
74,48.50187341772152
75,49.026160337552746
76,49.55044725738397
77,50.07473417721519
78,50.59902109704641
79,51.12330801687763
80,51.647594936708856
81,52.17188185654008
82,52.69616877637131
83,53.220455696202535
84,53.74474261603376
85,54.26902953586498
86,54.793316455696214
87,55.31760337552743
88,55.84189029535865
89,56.357524079548305
90,56.811699234085324
91,57.20721565469596
92,57.55826399797144
93,57.87903492050297
94,58.18371907888175
95,58.486507129699014
96,58.80158972954595
97,59.1431575350138
98,59.5194252496408
99,59.91372182946266
100,60.32010886729623
101,60.73444500825877
102,61.15258889746752
103,61.57039918003974
104,61.98373450109273
105,62.3884535057437
106,62.78041483910992
107,63.14976917766183
108,63.47843762583625
109,63.760236917329784
110,63.98949259953868
111,64.16053021985917
112,64.26767532568752
113,64.30525346441995
114,64.26759018345271
115,64.14901103018204
116,63.962255688991405
117,63.73350032997179
118,63.46774732026808
119,63.169852852860934
120,62.84467312073098
121,62.497064316858875
122,62.131882634225256
123,61.75398426581077
124,61.36824289547883
125,60.98266259275425
126,60.59752110727451
127,60.20767091022683
128,59.80796447279845
129,59.39325426617663
130,58.958392761548616
131,58.49823243010163
132,58.00762574302294
133,57.48045180463566
134,56.887980915331376
135,56.23292934009665
136,55.53437153292098
137,54.811381947793826
138,54.083035038704686
139,53.36840525964305
140,52.6865670645984
141,52.05659490756022
142,51.492303565145285
143,50.94694773967378
144,50.40558379012155
145,49.86908506156928
146,49.338324899097614
147,48.81417664778722
148,48.297513652718784
149,47.789209258972946
150,47.29013681163037
151,46.80062272166885
152,46.31749987076814
153,45.83904291333611
154,45.36396674397738
155,44.89098625729657
156,44.418816347898286
157,43.94617191038717
158,43.471767839367836
159,42.994319029444895
160,42.508288356962744
161,42.00081599131956
162,41.47584255502037
163,40.93865775899578
164,40.39455131417643
165,39.84881293149292
166,39.3067323218759
167,38.77359919625595
168,38.254703265563734
169,37.76087095874036
170,37.34083859524965
171,37.01297638689164
172,36.78726656179428
173,36.67369134808547
174,36.68223297389314
175,36.82287366734521
176,37.1055956565696
177,37.54038116969422
178,38.130773430168524
179,38.843088077730194
180,39.64644807669582
181,40.511954726667774
182,41.410709327248405
183,42.313813178040085
184,43.19236757864517
185,44.01747382866602
186,44.760233227704994
187,45.43095529590087
188,46.1096197859753
189,46.79085903540857
190,47.46464743746611
191,48.12095938541335
192,48.74976927251573
193,49.34105149203867
194,49.8847804372476
195,50.37093050140795
196,50.80970408930228
197,51.229164957206706
198,51.63171265868807
199,52.01944232828068
200,52.39444910051884
201,52.75882810993687
202,53.11467449106908
203,53.46408337844978
204,53.80914621126645
205,54.148240039218386
206,54.479005262254525
207,54.80179543432752
208,55.11696410939006
209,55.42486484139479
210,55.72585118429439
211,56.02027669204153
212,56.308494918588856
213,56.590118364337535
214,56.83688807582617
215,57.03643222759157
216,57.191789700036374
217,57.30599937356329
218,57.382100128574955
219,57.42313084547407
220,57.43213040466331
221,57.41213768654532
222,57.36484593966339
223,57.27500237439566
224,57.13898531291684
225,56.958705345329236
226,56.73607306173513
227,56.47299905223676
228,56.17139390693642
229,55.8331682159364
230,55.46023256933895
231,55.05449755724635
232,54.6178737697609
233,54.15227179698485
234,53.65960222902047
235,53.14177565597006
236,52.60070266793586
237,52.03829385502019
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
